"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"140",1,9,2,0,0,1,0,0,0,0,137046,14547,66425,23956,46664,2402,1770,17996,29268,8291,7400,177,4,"TOP","TOP",1651,9,6,1,301,3382,0,0,5,FALSE,FALSE,FALSE,FALSE,NA,NA
"141",4,2,16,1,4,1,0,0,0,0,195253,36100,3062,174357,17834,17867,7487,7442,12930,14178,12900,246,8,"MIDDLE","BOTTOM",2166,61,15,9,960,3071,0,0,63,FALSE,FALSE,FALSE,FALSE,NA,NA
"142",10,7,7,3,3,2,1,0,0,0,214144,19665,31265,101061,81818,36897,0,54104,49055,10885,10825,14,128,"JUNGLE","JUNGLE",1850,26,5,2,510,15658,0,0,42,FALSE,FALSE,FALSE,FALSE,NA,NA
"143",20,3,6,2,16,4,3,1,1,0,289643,47364,72518,180668,36457,17732,6900,18379,28223,20175,18108,290,27,"BOTTOM","BOTTOM",1948,28,12,5,933,8752,0,0,3,FALSE,FALSE,TRUE,FALSE,NA,NA
"144",10,11,23,2,3,2,1,0,0,0,132129,41978,111935,16264,3929,1914,1914,29840,31483,14126,13400,100,0,"TOP","",1232,0,0,0,183,2489,0,0,1,FALSE,FALSE,FALSE,TRUE,NA,NA
"145",14,4,21,4,5,4,4,2,1,0,26649,14935,752,25184,712,443,443,4990,10336,8003,7225,19,0,"NONE","",496,0,0,0,130,2402,0,0,10,FALSE,TRUE,TRUE,FALSE,NA,NA
"146",6,8,7,1,3,1,0,0,0,0,118047,25325,117165,658,222,2747,165,8818,21470,10348,10000,169,2,"BOTTOM","BOTTOM",1597,14,8,1,391,2139,0,0,22,TRUE,FALSE,FALSE,FALSE,NA,NA
"147",1,6,3,0,0,1,0,0,0,0,198366,11949,97184,19368,81813,16190,0,14981,34576,7850,7650,7,146,"JUNGLE","JUNGLE",1338,22,3,2,315,20535,0,0,15,FALSE,FALSE,FALSE,FALSE,NA,NA
"148",2,9,7,1,2,1,0,0,0,0,20132,7101,7625,9283,3224,3792,0,29874,19334,6939,6775,23,4,"MIDDLE","UTILITY",1682,84,44,8,681,160,0,1072,49,FALSE,TRUE,FALSE,FALSE,NA,NA
"149",2,9,10,0,0,1,0,0,0,0,151636,23627,19314,121647,10673,8395,5409,17107,28815,11115,11050,215,0,"BOTTOM","BOTTOM",1836,19,9,4,477,4159,0,0,7,FALSE,FALSE,FALSE,FALSE,NA,NA
"150",4,7,3,2,2,1,0,0,0,0,109623,15210,64019,45604,0,2291,1572,61948,43783,9362,8500,185,0,"TOP","TOP",1679,15,8,1,408,3880,0,0,39,FALSE,FALSE,FALSE,FALSE,NA,NA
"151",6,3,4,2,3,1,0,0,0,0,192688,17237,17152,123019,52515,30297,9619,31471,40979,11047,10783,37,110,"JUNGLE","JUNGLE",1514,16,6,5,905,22584,0,0,17,FALSE,FALSE,FALSE,FALSE,NA,NA
"152",10,5,2,2,4,2,2,0,0,0,106709,14891,294,105985,428,13712,2479,9897,12465,11750,10350,163,4,"BOTTOM","BOTTOM",1331,10,4,3,348,3418,0,0,5,FALSE,FALSE,FALSE,FALSE,NA,NA
"153",3,4,20,0,0,1,0,0,0,0,29949,13912,1472,26637,1838,4603,2624,6556,13251,8408,7475,18,0,"BOTTOM","UTILITY",1700,73,35,3,744,18401,14250,4665,40,FALSE,FALSE,FALSE,FALSE,NA,NA
"154",6,1,1,1,6,2,2,0,0,0,113990,6950,43589,22703,47697,2632,0,9283,16487,6852,5300,7,102,"NONE","JUNGLE",912,12,5,0,271,10500,0,0,5,FALSE,FALSE,FALSE,FALSE,NA,NA
"155",8,18,32,2,2,2,1,0,0,0,69078,33642,10810,54275,3991,53,53,65155,60812,14167,13700,45,0,"TOP","",1419,0,0,0,114,8531,0,0,32,FALSE,FALSE,FALSE,FALSE,NA,NA
"156",2,6,5,1,2,1,0,0,0,0,11076,4919,7784,1844,1447,0,0,8858,16119,6327,5325,20,0,"BOTTOM","UTILITY",1549,66,28,9,442,1667,1039,2296,16,TRUE,FALSE,FALSE,FALSE,NA,NA
"157",4,9,7,1,3,1,0,0,0,0,128406,20167,114057,10147,4200,0,0,11976,22475,9793,9875,190,2,"MIDDLE","MIDDLE",1695,12,8,3,645,1822,0,0,36,FALSE,FALSE,FALSE,FALSE,NA,NA
"158",0,0,0,0,0,0,0,0,0,0,129,129,17,112,0,0,0,0,0,500,500,0,0,"NONE","UTILITY",108,0,0,0,0,0,0,11,0,FALSE,FALSE,FALSE,FALSE,NA,NA
"159",3,0,3,1,3,1,0,0,0,0,157248,5788,29227,86176,41845,19009,434,6937,13818,6879,5600,4,137,"NONE","JUNGLE",913,5,0,0,0,9248,0,0,4,FALSE,TRUE,FALSE,FALSE,NA,NA
"160",0,2,3,0,0,0,0,0,0,0,7901,2852,3140,2773,1987,244,0,3649,5871,3662,3225,25,0,"NONE","UTILITY",948,34,12,8,626,0,0,319,22,FALSE,FALSE,FALSE,FALSE,NA,NA
"161",4,1,12,2,2,2,1,0,0,0,120334,14682,67093,13733,39507,5991,5020,2816,9629,10859,10225,201,0,"MIDDLE","MIDDLE",1471,15,1,4,1072,2970,0,0,12,FALSE,FALSE,FALSE,FALSE,NA,NA
"162",7,12,10,2,2,2,1,0,0,0,150534,30191,15948,134361,224,7488,3497,29651,43204,11840,11380,192,8,"TOP","TOP",1853,13,7,1,305,12298,0,0,28,FALSE,FALSE,FALSE,FALSE,NA,NA
"163",1,3,2,0,0,1,0,0,0,0,119762,13005,2853,113759,3149,6492,6492,17002,19174,8953,8933,217,0,"TOP","TOP",1373,14,9,1,867,11685,3098,0,3,FALSE,FALSE,FALSE,FALSE,NA,NA
